,width (mm),length (mm),frequency (Hz),admittance (S),impedance (Ohm),phase (rad)
0,5.0,10.0,1.0,2.850638850137822e-07,3507985.586990973,-42.01504669993122
1,5.0,10.0,2.0,4.0392071826846534e-07,2475733.3673964986,-56.43965637392936
2,5.0,10.0,3.0,5.863429292564043e-07,1705486.5849038078,-66.90633488069868
3,5.0,10.0,4.0,7.694910498625179e-07,1299560.2745199783,-71.55406162719378
4,5.0,10.0,5.0,9.540570652736483e-07,1048155.332001209,-73.77933171069644
5,5.0,10.0,6.0,1.1273803339036142e-06,887012.1022401082,-75.68624284596781
6,5.0,10.0,7.0,1.2929046500633526e-06,773452.2417805518,-77.34392794680566
7,5.0,10.0,8.0,1.4810090423046626e-06,675215.3237659214,-77.91838511209092
8,5.0,10.0,9.0,1.6633218759163464e-06,601206.5460565692,-77.21778162644529
9,5.0,10.0,10.0,1.8208988900431773e-06,549179.3121892055,-77.33749518652156
10,5.0,10.0,20.0,3.5568942734860056e-06,281144.14517582214,-82.18151664563216
11,5.0,10.0,30.0,5.3540521326930836e-06,186774.42341171246,-83.37407978357082
12,5.0,10.0,40.0,7.087148829970715e-06,141100.46564439542,-83.17698760876075
13,5.0,10.0,50.0,8.80565594675464e-06,113563.37404580905,-83.96818276458107
14,5.0,10.0,60.0,9.954929236214129e-06,100452.74820861522,-88.28878353436629
15,5.0,10.0,70.0,1.2254798520432152e-05,81600.68876960501,-83.89705832216556
16,5.0,10.0,80.0,1.3985371002171036e-05,71503.28724527679,-84.16265354870038
17,5.0,10.0,90.0,1.5729397429020545e-05,63575.226229264976,-84.11054010087592
18,5.0,10.0,100.0,1.7409205362508156e-05,57440.87562741745,-84.13259105506799
19,5.0,10.0,200.0,3.470587846045793e-05,28813.562553656375,-83.6758713174437
20,5.0,10.0,300.0,5.284338739521349e-05,18923.843631011798,-82.46142627040392
21,5.0,10.0,400.0,6.978271012090551e-05,14330.197240367997,-82.38778371353682
22,5.0,10.0,500.0,8.788447290102349e-05,11378.574246285934,-81.62248756883534
23,5.0,10.0,600.0,0.00010581960070188733,9450.045108535025,-80.96285111902004
24,5.0,10.0,700.0,0.00012497758361662063,8001.434905859479,-80.16318040736026
25,5.0,10.0,800.0,0.0001446990792842719,6910.894008077461,-79.16149952619686
26,5.0,10.0,900.0,0.00016596800367431103,6025.2577476461065,-78.23211614029695
27,5.0,10.0,1000.0,0.00018895125289700352,5292.370305398797,-77.05855187749941
28,5.0,10.0,1100.0,0.0002159315015316717,4631.098255264646,-75.98186430909087
29,5.0,10.0,1200.0,0.0002483903265924864,4025.9216762519814,-74.3892632454697
30,5.0,10.0,1300.0,0.00030134893304907263,3318.4122800167897,-70.84280003769064
31,5.0,10.0,1400.0,0.00015858202384690185,6305.884965659282,-55.517162832710746
32,5.0,10.0,1500.0,0.00020280387764314776,4930.872188546576,-70.35091800045883
33,5.0,10.0,1600.0,0.00023076337504698944,4333.443293574528,-71.57470292423682
34,5.0,10.0,1700.0,0.0002543829389000726,3931.081244378668,-71.70054485844945
35,5.0,10.0,1800.0,0.0002748001802248715,3639.0078026211295,-71.36111915429943
36,5.0,10.0,1900.0,0.00029416051116251646,3399.5045631652597,-70.90473325034502
37,5.0,10.0,2000.0,0.000311614168318388,3209.0967024909537,-70.30613410491775
