,frequency,magnitude,phase
0,1.0,39.18792543128506,-3.736453484089943
1,2.0,37.91793351457774,-3.938783919300435
2,4.0,37.549224674854884,-4.334187532790378
3,5.0,37.57132017074731,-3.695883060638628
4,8.0,36.89003283758666,-3.1786228623837407
5,10.0,36.99352192406008,-3.4436681191722434
6,20.0,36.64513387566047,-2.840135388103013
7,40.0,35.816640046649134,-3.4342609925920056
8,50.0,35.6526218550349,-3.31005387870327
9,80.0,35.15053940751908,-3.7594733000405687
10,100.0,34.7871445395018,-3.764949722619533
11,200.0,33.96586271271714,-3.457778669674738
12,400.0,32.68728461427716,-4.258136610982988
13,500.0,32.62577464117471,-4.630672781232207
14,800.0,31.816175071667754,-4.7408416342317015
15,1000.0,31.200442864056853,-4.185206898051237
16,2000.0,30.045827807136167,-4.680962803956004
17,4000.0,28.939832890915206,-5.394614948110346
18,5000.0,28.43356366572136,-4.531194419474387
19,8000.0,27.363457542933894,-5.439776343334743
20,10000.0,27.387960293784072,-5.219683055915357
