,length,width,bulk,capacitance,inductance,resistance
0,1,1,4.1187184416869754e-10,1.4351069475883596e-12,13.207297546641747,8004.230648978192
1,1,2,7.849753801335225e-10,2.9205826529679725e-12,6.896435338785239,8000.148283353729
2,1,5,1.918903912018188e-09,6.715163317961001e-12,3.6865401906200295,8309.35533561489
3,1,10,3.827092031301749e-09,1.0805919344102024e-11,2.9345152762762154,7406.252581475543
4,1,20,7.653897670172837e-09,1.660098997444675e-11,2.440174357852994,8636.539708362692
5,1,50,1.913311851872499e-08,3.9085909570830964e-11,1.0996651054153308,8970.524517714677
6,2,1,8.354096739598653e-10,2.2860536239411287e-11,1.4720748708498266,8032.256568689208
7,2,2,1.5949438610073454e-09,3.977448121928625e-11,1.0031252816239862,8592.986792545642
8,2,5,3.827142811268234e-09,8.654672221120182e-11,0.585398716568989,5723.167912069981
9,2,10,7.563334440766624e-09,1.9227587532326956e-10,0.28806514544955575,10153.335964072274
10,2,20,1.5086016496226707e-08,3.959149837075732e-10,0.1782847703909661,9719.476640915977
11,2,50,3.822165743503635e-08,4.6381677704493395e-10,0.24662355335681163,7545.261047543493
12,5,1,2.0662212312826964e-09,1.6940282192507242e-10,1.435149062611024,6755.611799585442
13,5,2,4.310283390556778e-09,6.406246161915976e-11,3.8373898020776624,6483.535110370295
14,5,5,1.0216450009565837e-08,8.08638448631727e-11,3.042667088068986,6457.77317550562
15,5,10,1.3036731550932845e-08,7.11328055825273e-09,0.1079545565288087,6111.97671640208
16,5,20,3.123736022995734e-08,7.176550091527418e-09,0.11063788707219266,7053.371756265527
17,5,50,9.650640912843164e-08,1.8645680324137054e-10,2.3119387065007455,6972.101835813973
18,10,1,3.899848594108888e-09,6.792075476276011e-10,5.636509717884501,6226.929092957973
19,10,2,4.6574195125913066e-09,3.5828195214449937e-09,1.7009577190812704,6730.08289043337
20,10,5,6.518837896754152e-09,1.4502301712638248e-08,0.8084836937289347,6682.844965732246
21,10,10,3.0139432233433375e-08,1.0562429583705563e-08,0.5375343672821142,6769.144361012027
22,10,20,5.970165938595502e-08,1.9032396276059385e-08,0.6018164954728926,6911.620686366793
23,10,50,1.6276689209470482e-07,3.025374233339964e-08,0.4992586400487442,7095.998440322794
24,20,1,8.0194548817149e-09,5.73691383451381e-11,7.512982393312445,7999.094552069602
25,20,2,1.0959282496429018e-08,1.0071564410565379e-08,8.505039493554856,8000.494856801305
26,20,5,2.1802560849301304e-08,2.0788804865618857e-08,5.236785961267541,6928.675464928972
27,20,10,3.900278796401891e-08,4.490922258059808e-08,3.017158657530225,6724.34401020878
28,20,20,8.679286036890051e-08,7.899678600908886e-08,0.0010890376427576743,7094.639308729587
29,20,50,2.938152896280494e-07,9.878820745892473e-08,1.2708376202993859,6251.736167110617
30,50,1,9.14096840228041e-09,9.722746725670734e-09,1.0572031573511718,6701.438427738466
31,50,2,3.8335927139026575e-08,5.356675055441668e-11,8.13532915490567,7999.986471221606
32,50,5,7.701915277124881e-08,4.386924481282954e-11,11.35565942156808,6328.195283628527
33,50,10,3.1226353243041044e-08,2.414380294819798e-11,16.503581092580998,6266.330093249436
34,50,20,1.0415468760071727e-08,6.421194397474046e-11,15.457883458584302,6462.563318948534
35,50,50,6.80779725404218e-07,3.101970035516499e-07,14.521258100600384,6498.539827235497
