Bias,Left,Right
Done Init Model
2.7,1.33329,1.3422
2.7,1.33279,1.34184
2.7,1.33228,1.34148
2.7,1.33177,1.34112
2.7,1.33127,1.34075
2.7,1.33076,1.34039
2.7,1.33025,1.34003
2.7,1.32975,1.33966
2.7,1.32924,1.33929
2.7,1.32873,1.33893
2.7,1.32822,1.33856
2.7,1.32771,1.33819
2.7,1.32721,1.33782
2.7,1.3267,1.33745
2.7,1.32619,1.33708
2.7,1.32568,1.33671
2.7,1.32517,1.33634
2.7,1.32466,1.33596
2.7,1.32416,1.33559
2.7,1.32365,1.33522
2.7,1.32314,1.33484
2.7,1.32263,1.33447
2.7,1.32213,1.33409
2.7,1.32162,1.33372
2.7,1.32111,1.33334
2.7,1.3206,1.33296
2.7,1.3201,1.33259
2.7,1.31959,1.33221
2.7,1.31908,1.33183
2.7,1.31857,1.33146
2.7,1.31807,1.33108
2.7,1.31756,1.3307
2.7,1.31705,1.33032
2.7,1.31655,1.32994
2.7,1.31604,1.32957
2.7,1.31554,1.32919
2.7,1.31503,1.32881
2.7,1.31452,1.32843
2.7,1.31402,1.32805
2.7,1.31351,1.32767
2.7,1.31301,1.32729
2.7,1.3125,1.32691
2.7,1.312,1.32653
2.7,1.31149,1.32615
2.7,1.31099,1.32577
2.7,1.31048,1.32539
2.7,1.30998,1.32501
2.7,1.30947,1.32463
2.7,1.30897,1.32425
2.7,1.30847,1.32387
2.7,1.30796,1.32349
2.7,1.30746,1.32311
2.7,1.30695,1.32273
2.7,1.30645,1.32235
2.7,1.30595,1.32197
2.7,1.30544,1.32158
2.7,1.30494,1.3212
2.7,1.30444,1.32082
2.7,1.30393,1.32044
2.7,1.30343,1.32006
2.7,1.30293,1.31968
2.7,1.30242,1.3193
2.7,1.30192,1.31892
2.7,1.30142,1.31854
2.7,1.30092,1.31815
2.7,1.30041,1.31777
2.7,1.29991,1.31739
2.7,1.29941,1.31701
2.7,1.29891,1.31663
2.7,1.2984,1.31625
2.7,1.2979,1.31587
2.7,1.2974,1.31548
2.7,1.2969,1.3151
2.7,1.2964,1.31472
2.7,1.29589,1.31434
2.7,1.29539,1.31396
2.7,1.29489,1.31358
2.7,1.29439,1.31319
2.7,1.29389,1.31281
2.7,1.29338,1.31243
2.7,1.29288,1.31205
2.7,1.29238,1.31167
2.7,1.29188,1.31129
2.7,1.29138,1.3109
2.7,1.29088,1.31052
2.7,1.29038,1.31014
2.7,1.28987,1.30976
