,length,wingLength,appliedElectricField,activeMaterialThickness,multiLayers,staticStrokeAmplitude,operatingFrequency,width,transmissionRatio,naturalFrequency,netThrust,loadedDisplacement,liftableMass,totalMechanicalMass,appliedVoltage,intBulk,intCapacitance,intResistance,intInductance,averageCurrent,xt018-m0-mass,xt018-m0-area,xt018-m0-current,xt018-mem-mass,xt018-mem-area,xt018-mem-current,IMU-sensor-mass,IMU-sensor-area,IMU-sensor-current,total-additional-mass,total-additional-current,ccount,boost-frequency,inductance,boost-mass,vin,load,battery-mass,battery-alpha,runtime,runtime-new
0,0.005,0.0085714285714285,500000.0,0.000127,1.0,30.0,364.28571428571433,0.0019453397559009,12330.104152890985,351.11917342151344,0.0,0.0001790591109136,0.2632228009693323,0.0604378155363319,63.5,3.793299511801979e-09,6.029763092215215e-10,1215.93,0.446604021742174,0.0001060078867855,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1.0,550700.9276222159,1.9e-06,0.12776,3.3997623448219128,0.0380047664782389,0.0389749854330003,0.277240013923734,66.29567715846267,1.0770289638080393
1,0.005,0.0085714285714285,500000.0,0.000127,1.0,30.0,432.1428571428572,0.0029545483528075,12330.104152890985,422.9242874389499,0.0,0.0002004915187018,0.3477462326929705,0.0917919082250263,63.5,5.811716705615187e-09,5.650548980344418e-10,929.565494157722,0.4941544051960739,0.0001792390141139,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1.0,923469.600029367,1.9e-06,0.12776,3.3107876387907296,0.0492673874948443,0.0921443244679441,0.3321131996739023,144.83602576476662,2.352982968523725
2,0.005,0.0085714285714285,500000.0,0.000127,1.0,30.0,500.0,0.0041396392145691,12330.104152890985,464.1588833612782,0.0,0.0001889691331923,0.3878748012804106,0.1286103111182335,63.5,8.181898429138245e-09,5.047752513509416e-10,574.0382356292632,0.566906738169327,0.0002640181720597,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1.0,1017644.373790533,1.9e-06,0.12776,3.470099461412493,0.0291013339984186,0.095454490162177,0.2270364772789988,173.64429138725717,2.8210015121952665
3,0.005,0.0085714285714285,500000.0,0.000127,1.0,47.14285714285714,432.1428571428572,0.0075019799012745,19375.87795454297,422.9242874389499,0.0,0.0001304979886133,0.4477085216133972,0.2330715115727988,63.5,1.4906579802549176e-08,7.742743943310452e-10,215.85080394901647,0.4793314025917396,0.0004291199614934,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1.0,1501061.811113805,1.9e-06,0.12776,3.3756128360525617,0.0410616663224605,0.0508270100405982,0.2930057742564624,84.5698534291442,1.373908307633328
4,0.005,0.0121428571428571,500000.0,0.000127,1.0,30.0,296.42857142857144,0.0061756857561909,12330.104152890985,291.5053062825179,0.0,0.0001538722073972,0.4690128485482897,0.19186620507334,63.5,1.2253991512381877e-08,6.082152053781889e-10,268.9025697523625,0.5537532154371604,0.000246050670548,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1.0,1102542.8989101532,1.9e-06,0.12776,3.4849501949039223,0.0272214943159592,0.1133366434749496,0.2155316801490032,209.2429839865603,3.3994719276313434
5,0.0071428571428571,0.0085714285714285,500000.0,0.000127,1.0,30.0,500.0,0.0030459182566921,6041.751034916581,464.1588833612782,0.0,0.0004754622743961,0.6535393324988014,0.1351865548555902,63.5,9.572149322157102e-09,1.245309097841983e-09,889.2699467267547,1.1632670659494315,0.0003272406966806,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1.0,1401645.6694382972,1.9e-06,0.12776,3.4424124447699627,0.0326060196493718,0.3545427776432109,0.2476084399632401,627.7947890852282,33.28796358759199
6,0.0071428571428571,0.0121428571428571,500000.0,0.000127,1.0,30.0,296.42857142857144,0.0043452680757521,6041.751034916581,291.5053062825179,0.0,0.0003201160332291,0.4669508777638318,0.1928554122535275,63.5,1.2570509008647253e-08,1.2594817964697212e-09,539.4310058457694,1.1369927968429736,0.0002640640031855,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1.0,1017400.0582205316,1.9e-06,0.12776,3.4700539295765456,0.0291070975219562,0.1102854655103041,0.2270712317182142,200.61476859740685,3.259223568924754
7,0.0092857142857142,0.0085714285714285,500000.0,0.000127,1.0,30.0,364.28571428571433,0.0011681606402603,3575.000612376676,319.92671377973846,0.0,0.0007553664528335,0.2754782144507753,0.0674001988615564,63.5,4.2442539896126726e-09,6.642313192540962e-10,1340.625044415242,5.601316284648885,0.0001078935681996,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1.0,540602.3037135134,1.9e-06,0.12776,3.3968865549462244,0.0383687905131362,0.0442680155892187,0.2791542269133003,75.09958877636896,1.220055903326686
8,0.0092857142857142,0.0121428571428571,500000.0,0.000127,1.0,30.0,296.42857142857144,0.0035020210691107,3575.000612376676,265.6087782946687,0.0,0.0006010013036034,0.4618110077543941,0.2020586110681022,63.5,1.3079022015310749e-08,1.7095891157754047e-09,641.2519526899987,2.115594615438644,0.0002576711846751,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1.0,1049841.0383749004,1.9e-06,0.12776,3.475954252643137,0.028360221184413,0.0959423966862919,0.2225413253140234,175.54684371316156,2.8519111173406713
9,0.0114285714285714,0.0121428571428571,500000.0,0.000127,1.0,30.0,296.42857142857144,0.0036704729295119,2360.058998014289,265.6087782946687,0.0,0.0011665902475735,1.04405516978981,0.2606497210836037,63.5,1.7323100913975514e-08,2.7286735087491953e-09,597.8188474936477,3.333805391394929,0.0003473402523568,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1.0,1283251.7445440183,1.9e-06,0.12776,3.422206906515556,0.0351636827195499,0.6195954487062062,0.2619435350992025,1076.224702700569,291.45351312361214
10,0.0114285714285714,0.0157142857142857,500000.0,0.000127,1.0,30.0,228.57142857142856,0.0052534484364375,2360.058998014289,200.9233002565048,0.0,0.0008009189103976,0.5855951774858841,0.3730608823388388,63.5,2.3715703745750243e-08,3.428512353081012e-09,416.0919341222535,2.1809064346180844,0.0003547977194325,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1.0,1223574.2221986973,1.9e-06,0.12776,3.4108533652514894,0.0366008398415836,0.0487242951470451,0.2697612968335602,83.73664587445367,1.3603721510130344
11,0.0135714285714285,0.0121428571428571,500000.0,0.000127,1.0,30.0,228.57142857142856,0.0019848480751697,1673.6152451292471,200.9233002565048,0.0,0.0018759490663768,0.7729415546443719,0.167377134284014,63.5,1.135271799489634e-08,1.7849600489486551e-09,790.79981755115,8.455276712735326,0.0001761370972654,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1.0,940434.4122396362,1.9e-06,0.12776,3.3147918323517485,0.0487605275504116,0.4417544203603577,0.3298233664283901,696.7473636181567,53.90644079040023
12,0.0135714285714285,0.0121428571428571,500000.0,0.000127,1.0,30.0,296.42857142857144,0.0019848480751697,1673.6152451292471,200.9233002565048,0.0,0.0014509983166858,0.4200087192080555,0.167377134284014,63.5,1.135271799489634e-08,1.7849600489486551e-09,790.79981755115,8.455276712735326,0.0001761370972654,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1.0,940434.4122396362,1.9e-06,0.12776,3.3147918323517485,0.0487605275504116,0.0888215849240413,0.3298233664283901,140.091875204619,2.2759102192318124
13,0.02,0.0192857142857142,250000.0,0.000127,1.0,30.0,25.0,0.0013836630129834,1541.263019111373,79.24828983539177,0.0,0.0028337250402915,0.605288161782709,0.1719505699494735,31.75,1.1675077116850632e-08,1.686326556082435e-09,853.5584935082982,45.73959145401628,3.769433081181567e-05,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1.0,1224267.549089017,1.9e-06,0.12776,3.647242424331561,0.0066781741352454,0.2695275918332355,0.0631470287434774,594.2645421191481,25.911040150717362
