Unnamed: 0,length,wingLength,appliedElectricField,activeMaterialThickness,multiLayers,staticStrokeAmplitude,operatingFrequency,width,transmissionRatio,naturalFrequency,netThrust,loadedDisplacement,liftableMass,totalMechanicalMass,appliedVoltage,intBulk,intCapacitance,intResistance,intInductance,averageCurrent,xt018-m0-mass,xt018-m0-area,xt018-m0-current,xt018-mem-mass,xt018-mem-area,xt018-mem-current,IMU-sensor-mass,IMU-sensor-area,IMU-sensor-current,total-additional-mass,total-additional-current,ccount,boost-frequency,inductance,boost-mass,vin,load,battery-mass,battery-alpha,runtime
2.0,0.005,0.0085714285714285,500000.0,0.000127,1.0,30.0,364.28571428571433,0.0019453397559009,12330.104152890985,351.11917342151344,0.0,0.0001790591109136,0.2632228009693323,0.0604378155363319,63.5,3.793299511801979e-09,6.029763092215216e-10,1215.93,0.446604021742174,0.0001060078867855,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1.0,550700.9276222159,1.9e-06,0.12776,3.3997623448219128,0.03800476647823894,0.038974985433000375,0.27724001392373404,66.29567715846267
3.0,0.005,0.0085714285714285,500000.0,0.000127,1.0,30.0,432.1428571428572,0.0029545483528075,12330.104152890985,422.9242874389499,0.0,0.0002004915187018,0.3477462326929705,0.0917919082250263,63.5,5.8117167056151874e-09,5.650548980344418e-10,929.565494157722,0.4941544051960739,0.0001792390141139,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1.0,923469.600029367,1.9e-06,0.12776,3.3107876387907296,0.04926738749484436,0.09214432446794418,0.3321131996739023,144.83602576476662
4.0,0.005,0.0085714285714285,500000.0,0.000127,1.0,30.0,500.0,0.0041396392145691,12330.104152890985,464.1588833612782,0.0,0.0001889691331923,0.3878748012804106,0.1286103111182335,63.5,8.181898429138245e-09,5.047752513509416e-10,574.0382356292632,0.566906738169327,0.0002640181720597,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1.0,1017644.373790533,1.9e-06,0.12776,3.470099461412493,0.029101333998418657,0.09545449016217708,0.22703647727899887,173.64429138725717
7.0,0.005,0.0085714285714285,500000.0,0.000127,1.0,47.14285714285714,432.1428571428572,0.0075019799012745,19375.87795454297,422.9242874389499,0.0,0.0001304979886133,0.4477085216133972,0.2330715115727988,63.5,1.4906579802549176e-08,7.742743943310452e-10,215.85080394901647,0.4793314025917396,0.0004291199614934,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1.0,1501061.811113805,1.9e-06,0.12776,3.3756128360525617,0.04106166632246055,0.05082701004059828,0.29300577425646246,84.5698534291442
122.0,0.005,0.0121428571428571,500000.0,0.000127,1.0,30.0,296.42857142857144,0.0061756857561909,12330.104152890985,291.5053062825179,0.0,0.0001538722073972,0.4690128485482897,0.19186620507334,63.5,1.2253991512381877e-08,6.082152053781889e-10,268.9025697523625,0.5537532154371604,0.000246050670548,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1.0,1102542.8989101532,1.9e-06,0.12776,3.4849501949039223,0.027221494315959244,0.1133366434749496,0.21553168014900326,209.2429839865603
658.0,0.0071428571428571,0.0085714285714285,500000.0,0.000127,1.0,30.0,364.28571428571433,0.0013786316552844,6041.751034916581,351.11917342151344,0.0,0.0003917015394243,0.2552025208706492,0.0611876118091102,63.5,3.6372361677117515e-09,5.920050358253871e-10,1285.8685714285716,3.1017233972008027,0.0001023863441355,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1.0,568500.448271861,1.9e-06,0.12776,3.404714886407504,0.03737786248006282,0.030204909061538998,0.2739195126667925,51.61399159731833
659.0,0.0071428571428571,0.0085714285714285,500000.0,0.000127,1.0,30.0,432.1428571428572,0.0021241298031341,6041.751034916581,385.3528593710531,0.0,0.0003923733199706,0.2687871644719856,0.0942749496053877,63.5,6.1922583257775566e-09,9.8365637267135e-10,1012.175073867829,1.51430561746159,0.0001837623719234,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1.0,896663.2803252554,1.9e-06,0.12776,3.304304458907137,0.050088043176311825,0.010702214866597781,0.3357876680860289,16.729607390488404
660.0,0.0071428571428571,0.0085714285714285,500000.0,0.000127,1.0,30.0,500.0,0.0030459182566921,6041.751034916581,464.1588833612782,0.0,0.0004754622743961,0.6535393324988014,0.1351865548555902,63.5,9.572149322157102e-09,1.245309097841983e-09,889.2699467267547,1.1632670659494315,0.0003272406966806,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1.0,1401645.6694382972,1.9e-06,0.12776,3.4424124447699627,0.03260601964937182,0.35454277764321096,0.2476084399632401,627.7947890852282
663.0,0.0071428571428571,0.0085714285714285,500000.0,0.000127,1.0,47.14285714285714,432.1428571428572,0.0053793522350489,9494.180197726057,385.3528593710531,0.0,0.0002735810889822,0.40844327150308,0.238751021769288,63.5,1.5397381797338766e-08,1.261969981815258e-09,336.3408988703273,1.160049713562469,0.0004158655912533,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1.0,1618796.5740769727,1.9e-06,0.12776,3.3961758126680053,0.03845875789012592,0.005882249733791978,0.2796257569187916,9.972562884973941
733.0,0.0071428571428571,0.0121428571428571,500000.0,0.000127,1.0,30.0,296.42857142857144,0.0043452680757521,6041.751034916581,291.5053062825179,0.0,0.0003201160332291,0.4669508777638318,0.1928554122535275,63.5,1.2570509008647253e-08,1.2594817964697212e-09,539.4310058457694,1.1369927968429736,0.0002640640031855,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1.0,1017400.0582205317,1.9e-06,0.12776,3.4700539295765456,0.029107097521956293,0.11028546551030419,0.22707123171821422,200.61476859740685
