Unnamed: 0,length,wingLength,appliedElectricField,activeMaterialThickness,multiLayers,staticStrokeAmplitude,operatingFrequency,width,transmissionRatio,naturalFrequency,netThrust,loadedDisplacement,liftableMass,totalMechanicalMass,appliedVoltage,intBulk,intCapacitance,intResistance,intInductance,averageCurrent,xt018-m0-mass,xt018-m0-area,xt018-m0-current,xt018-mem-mass,xt018-mem-area,xt018-mem-current,IMU-sensor-mass,IMU-sensor-area,IMU-sensor-current,total-additional-mass,total-additional-current,cp-frequency,cp-capacitance,N,M,cp-area,cp-mass,vin,load,battery-mass,battery-alpha,runtime,ccount
2.0,0.005,0.0085714285714285,500000.0,0.000127,1.0,30.0,364.28571428571433,0.0019453397559009,12330.104152890985,351.11917342151344,0.0,0.0001790591109136,0.2632228009693323,0.0604378155363319,63.5,3.793299511801979e-09,6.029763092215216e-10,1215.93,0.446604021742174,0.0001060078867855,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,8.084122256680527e-10,31.0,3.0,,0.11458022617117238,3.5253461534447563,0.02210808184243587,0.05215475926182801,0.1824312004034197,100.35139245397542,1.0
3.0,0.005,0.0085714285714285,500000.0,0.000127,1.0,30.0,432.1428571428572,0.0029545483528075,12330.104152890985,422.9242874389499,0.0,0.0002004915187018,0.3477462326929705,0.0917919082250263,63.5,5.8117167056151874e-09,5.650548980344418e-10,929.565494157722,0.4941544051960739,0.0001792390141139,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,8.519433856319856e-10,34.0,4.0,,0.13243560537897098,3.4720019439704357,0.02886051342146385,0.08746871908897322,0.2255815139544004,159.4166309342091,1.0
121.0,0.005,0.0121428571428571,500000.0,0.000127,1.0,30.0,228.57142857142856,0.0034582999733919,12330.104152890985,220.5130739903045,0.0,0.000141037706631,0.2052594381706227,0.1074424635733398,63.5,6.819219946783819e-09,5.394315718534203e-10,778.4400079824275,0.5250795492665382,0.0001110127932839,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,4.6730040747891e-10,28.0,4.0,,0.05982315309765392,3.592490895003805,0.013608747467872852,0.0019438214996287811,0.12076641318211309,4.022219801413237,1.0
658.0,0.0071428571428571,0.0085714285714285,500000.0,0.000127,1.0,30.0,364.28571428571433,0.0013786316552844,6041.751034916581,351.11917342151344,0.0,0.0003917015394243,0.2552025208706492,0.0611876118091102,63.5,3.6372361677117515e-09,5.920050358253871e-10,1285.8685714285716,3.1017233972008027,0.0001023863441355,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,7.749007456447229e-10,31.0,3.0,,0.10983047989261904,3.532003803774385,0.021265341294381703,0.04813442916891997,0.17670591769879848,93.26441450910116,1.0
659.0,0.0071428571428571,0.0085714285714285,500000.0,0.000127,1.0,30.0,432.1428571428572,0.0021241298031341,6041.751034916581,385.3528593710531,0.0,0.0003923733199706,0.2687871644719856,0.0942749496053877,63.5,6.1922583257775566e-09,9.8365637267135e-10,1012.175073867829,1.51430561746159,0.0001837623719234,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,8.796693233363429e-10,34.0,4.0,,0.13674563513740656,3.465494789973821,0.029684203800782162,0.001716579729191231,0.2305354689083542,3.1085491166858956,1.0
732.0,0.0071428571428571,0.0121428571428571,500000.0,0.000127,1.0,30.0,228.57142857142856,0.0024235901787988,6041.751034916581,220.5130739903045,0.0,0.0002990161916727,0.2226333996491567,0.1075658566784601,63.5,7.290279703214761e-09,1.0686591985050252e-09,972.2470237792036,1.4002641189997094,0.000125055016475,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,5.376713028086334e-10,28.0,4.0,,0.0688319379768304,3.5776601593506707,0.015486055778396169,0.010185604993866199,0.13517403614817866,20.731021306029024,1.0
1305.0,0.0092857142857142,0.0085714285714285,500000.0,0.000127,1.0,30.0,364.28571428571433,0.0011681606402603,3575.000612376676,319.92671377973846,0.0,0.0007553664528335,0.2754782144507753,0.0674001988615564,63.5,4.2442539896126726e-09,6.642313192540962e-10,1340.625044415242,5.601316284648885,0.0001078935681996,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,8.260890721768016e-10,31.0,3.0,,0.11708565224793883,3.5218528952593315,0.0225502664228694,0.05494236334127996,0.18540351093427698,105.33071181445071,1.0
1329.0,0.0092857142857142,0.0121428571428571,500000.0,0.000127,1.0,30.0,228.57142857142856,0.0018923142958429,3575.000612376676,220.5130739903045,0.0,0.000524672975558,0.2574679743284666,0.1091822095803183,63.5,7.1408686119431765e-09,1.2031022963656956e-09,906.1328510656664,3.064794309093398,0.0001249225259491,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,5.36991974041027e-10,28.0,4.0,,0.06874497124575606,3.5778017705677687,0.015468130307877404,0.043490793502392044,0.13503869816380215,88.53177218332847,1.0
1823.0,0.0114285714285714,0.0121428571428571,500000.0,0.000127,1.0,30.0,228.57142857142856,0.001660694767507,2360.058998014289,200.9233002565048,0.0,0.000905182153562,0.2856254875555454,0.1179302057986509,63.5,7.719669551821086e-09,1.0546976211169823e-09,956.2706644257418,8.028879464938111,0.0001200993292454,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,5.124655041343111e-10,28.0,4.0,,0.06560512642496871,3.5829346987885926,0.014818392558406059,0.0660401553319257,0.13010439696670287,135.20114522047962,1.0
2141.0,0.0135714285714285,0.0121428571428571,500000.0,0.000127,1.0,30.0,228.57142857142856,0.0019848480751697,1673.6152451292471,200.9233002565048,0.0,0.0018759490663768,0.7729415546443719,0.167377134284014,63.5,1.135271799489634e-08,1.7849600489486551e-09,790.79981755115,8.455276712735326,0.0001761370972654,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,8.331835769007058e-10,34.0,4.0,,0.1295193709577392,3.4764335998716223,0.02829954432004781,0.4399950494026185,0.22217097874230565,805.44721002143,1.0
