X,CH1,CH2,CH3,Start,Increment,
Sequence,Volt,Volt,Volt,5.320000e-02,5.000000e-05
0,4.00e+00,2.40e-01,4.00e-01,
1,8.00e+00,6.40e-01,5.60e-01,
2,6.00e+00,4.00e-01,4.00e-01,
3,1.00e+01,6.40e-01,6.40e-01,
4,8.00e+00,7.20e-01,4.80e-01,
5,1.40e+01,4.80e-01,7.20e-01,
6,8.00e+00,5.60e-01,6.40e-01,
7,1.60e+01,8.80e-01,8.80e-01,
8,1.40e+01,6.40e-01,8.00e-01,
9,1.80e+01,8.80e-01,9.60e-01,
10,1.40e+01,7.20e-01,8.00e-01,
11,2.00e+01,1.04e+00,1.04e+00,
12,1.80e+01,8.80e-01,9.60e-01,
13,2.60e+01,1.20e+00,1.20e+00,
14,2.20e+01,9.60e-01,1.12e+00,
15,2.80e+01,1.28e+00,1.28e+00,
16,2.60e+01,1.12e+00,1.20e+00,
17,3.40e+01,1.44e+00,1.44e+00,
18,3.00e+01,1.20e+00,1.36e+00,
19,3.80e+01,1.60e+00,1.52e+00,
20,3.60e+01,1.36e+00,1.52e+00,
21,4.20e+01,1.68e+00,1.68e+00,
22,4.00e+01,1.44e+00,1.60e+00,
23,4.80e+01,1.76e+00,1.84e+00,
24,4.40e+01,1.60e+00,1.76e+00,
25,5.20e+01,1.92e+00,1.92e+00,
26,5.00e+01,1.76e+00,1.76e+00,
27,5.80e+01,2.00e+00,2.08e+00,
28,5.60e+01,1.84e+00,2.00e+00,
29,6.20e+01,2.16e+00,2.24e+00,
30,6.00e+01,1.92e+00,2.08e+00,
31,6.80e+01,2.24e+00,2.32e+00,
32,6.60e+01,2.08e+00,2.24e+00,
33,7.20e+01,2.48e+00,2.40e+00,
34,7.00e+01,2.24e+00,2.32e+00,
35,7.80e+01,2.56e+00,2.56e+00,
36,7.60e+01,2.32e+00,2.48e+00,
37,8.40e+01,2.64e+00,2.72e+00,
38,8.00e+01,2.40e+00,2.56e+00,
39,8.80e+01,2.72e+00,2.72e+00,
40,8.60e+01,2.56e+00,2.64e+00,
41,9.20e+01,2.88e+00,2.88e+00,
42,9.00e+01,2.64e+00,2.88e+00,
43,9.60e+01,2.96e+00,2.72e+00,
44,9.60e+01,2.72e+00,2.88e+00,
45,1.02e+02,3.04e+00,3.04e+00,
46,9.80e+01,2.80e+00,2.96e+00,
47,1.04e+02,3.12e+00,3.12e+00,
48,1.02e+02,2.88e+00,3.04e+00,
49,1.06e+02,3.12e+00,3.20e+00,
50,1.04e+02,2.96e+00,3.20e+00,
51,1.10e+02,3.28e+00,3.04e+00,
52,1.08e+02,2.96e+00,3.12e+00,
53,1.14e+02,3.20e+00,3.28e+00,
54,1.10e+02,3.04e+00,3.28e+00,
55,1.14e+02,3.28e+00,3.12e+00,
56,1.12e+02,3.04e+00,3.28e+00,
57,1.16e+02,3.36e+00,3.20e+00,
58,1.12e+02,3.04e+00,3.28e+00,
59,1.16e+02,3.36e+00,3.20e+00,
60,1.16e+02,3.36e+00,3.20e+00,
61,1.12e+02,3.20e+00,3.36e+00,
62,1.16e+02,3.20e+00,3.28e+00,
63,1.12e+02,3.28e+00,3.20e+00,
64,1.12e+02,3.04e+00,3.20e+00,
65,1.14e+02,3.28e+00,3.28e+00,
66,1.14e+02,3.20e+00,3.28e+00,
67,1.12e+02,3.04e+00,3.20e+00,
68,1.14e+02,3.20e+00,3.28e+00,
69,1.10e+02,3.04e+00,3.20e+00,
70,1.14e+02,3.04e+00,3.28e+00,
71,1.10e+02,3.20e+00,3.12e+00,
72,1.12e+02,3.12e+00,3.12e+00,
73,1.08e+02,2.96e+00,3.20e+00,
74,1.12e+02,3.12e+00,3.20e+00,
75,1.04e+02,2.88e+00,3.04e+00,
76,1.06e+02,3.04e+00,3.12e+00,
77,1.02e+02,2.88e+00,2.96e+00,
78,1.04e+02,3.04e+00,3.12e+00,
79,1.00e+02,2.80e+00,2.96e+00,
80,1.02e+02,2.96e+00,2.96e+00,
81,9.60e+01,2.56e+00,2.80e+00,
82,9.60e+01,2.88e+00,2.88e+00,
83,9.00e+01,2.64e+00,2.72e+00,
84,9.40e+01,2.72e+00,2.80e+00,
85,8.60e+01,2.48e+00,2.64e+00,
86,9.00e+01,2.64e+00,2.72e+00,
87,8.20e+01,2.32e+00,2.56e+00,
88,8.40e+01,2.56e+00,2.64e+00,
89,7.60e+01,2.32e+00,2.40e+00,
90,8.00e+01,2.48e+00,2.48e+00,
91,7.00e+01,2.24e+00,2.24e+00,
92,7.40e+01,2.32e+00,2.32e+00,
93,6.60e+01,2.00e+00,2.16e+00,
94,7.00e+01,2.24e+00,2.24e+00,
95,6.00e+01,1.92e+00,2.08e+00,
96,6.40e+01,2.16e+00,2.16e+00,
97,5.60e+01,1.84e+00,1.92e+00,
98,6.00e+01,2.00e+00,2.08e+00,
99,5.00e+01,1.68e+00,1.76e+00,
100,5.20e+01,1.84e+00,1.84e+00,
101,4.60e+01,1.52e+00,1.60e+00,
102,4.80e+01,1.76e+00,1.76e+00,
103,4.20e+01,1.44e+00,1.60e+00,
104,4.60e+01,1.68e+00,1.68e+00,
105,3.80e+01,1.36e+00,1.36e+00,
106,4.00e+01,1.52e+00,1.52e+00,
107,3.20e+01,1.28e+00,1.28e+00,
108,3.60e+01,1.36e+00,1.44e+00,
109,2.80e+01,1.04e+00,1.20e+00,
110,3.00e+01,1.28e+00,1.28e+00,
111,2.40e+01,9.60e-01,1.04e+00,
112,2.80e+01,1.12e+00,1.20e+00,
113,2.00e+01,8.80e-01,9.60e-01,
114,2.40e+01,7.20e-01,1.04e+00,
115,1.60e+01,1.04e+00,8.00e-01,
116,2.00e+01,8.80e-01,8.80e-01,
117,1.40e+01,5.60e-01,7.20e-01,
118,1.60e+01,8.00e-01,6.40e-01,
119,1.20e+01,5.60e-01,8.00e-01,
120,8.00e+00,7.20e-01,7.20e-01,
121,1.40e+01,4.00e-01,4.80e-01,
122,1.00e+01,6.40e-01,5.60e-01,
123,6.00e+00,3.20e-01,4.00e-01,
124,8.00e+00,2.40e-01,4.80e-01,
125,4.00e+00,5.60e-01,3.20e-01,
126,6.00e+00,4.00e-01,4.80e-01,
127,2.00e+00,1.60e-01,2.40e-01,
128,6.00e+00,3.20e-01,2.40e-01,
129,2.00e+00,8.00e-02,4.00e-01,
130,4.00e+00,2.40e-01,3.20e-01,
131,0.00e+00,0.00e+00,8.00e-02,
132,4.00e+00,2.40e-01,1.60e-01,
133,-2.00e+00,0.00e+00,8.00e-02,
134,4.00e+00,0.00e+00,1.60e-01,
135,-2.00e+00,2.40e-01,0.00e+00,
136,0.00e+00,1.60e-01,1.60e-01,
137,-2.00e+00,-8.00e-02,0.00e+00,
138,0.00e+00,1.60e-01,8.00e-02,
139,-2.00e+00,0.00e+00,0.00e+00,
140,0.00e+00,8.00e-02,8.00e-02,
141,-2.00e+00,-8.00e-02,0.00e+00,
142,0.00e+00,0.00e+00,8.00e-02,
143,-2.00e+00,1.60e-01,0.00e+00,
144,0.00e+00,1.60e-01,0.00e+00,
145,-2.00e+00,0.00e+00,8.00e-02,
146,0.00e+00,1.60e-01,8.00e-02,
147,-2.00e+00,0.00e+00,0.00e+00,
148,0.00e+00,1.60e-01,8.00e-02,
149,-2.00e+00,8.00e-02,0.00e+00,
150,0.00e+00,8.00e-02,1.60e-01,
151,-2.00e+00,1.60e-01,0.00e+00,
152,0.00e+00,0.00e+00,8.00e-02,
153,4.00e+00,3.20e-01,3.20e-01,
154,2.00e+00,1.60e-01,1.60e-01,
155,4.00e+00,2.40e-01,3.20e-01,
156,2.00e+00,8.00e-02,2.40e-01,
157,6.00e+00,4.00e-01,4.00e-01,
158,2.00e+00,1.60e-01,3.20e-01,
159,8.00e+00,4.80e-01,4.80e-01,
160,4.00e+00,2.40e-01,4.00e-01,
161,8.00e+00,5.60e-01,5.60e-01,
162,6.00e+00,4.00e-01,5.60e-01,
163,1.00e+01,6.40e-01,4.80e-01,
164,8.00e+00,4.00e-01,4.80e-01,
165,1.40e+01,7.20e-01,7.20e-01,
166,1.20e+01,5.60e-01,6.40e-01,
167,1.60e+01,8.80e-01,8.80e-01,
168,1.40e+01,6.40e-01,7.20e-01,
169,1.80e+01,9.60e-01,9.60e-01,
170,1.40e+01,7.20e-01,8.80e-01,
171,2.00e+01,1.12e+00,1.04e+00,
172,1.80e+01,8.00e-01,9.60e-01,
173,2.60e+01,1.20e+00,1.20e+00,
174,2.20e+01,9.60e-01,1.12e+00,
175,3.00e+01,1.28e+00,1.36e+00,
176,2.80e+01,1.12e+00,1.20e+00,
177,3.40e+01,1.52e+00,1.44e+00,
178,3.20e+01,1.20e+00,1.36e+00,
179,3.80e+01,1.60e+00,1.52e+00,
180,3.60e+01,1.36e+00,1.52e+00,
181,4.20e+01,1.68e+00,1.76e+00,
182,4.00e+01,1.44e+00,1.60e+00,
183,4.80e+01,1.76e+00,1.84e+00,
184,4.60e+01,1.52e+00,1.76e+00,
185,5.20e+01,1.92e+00,1.92e+00,
186,5.00e+01,2.00e+00,1.76e+00,
187,5.80e+01,1.68e+00,2.08e+00,
188,5.60e+01,1.76e+00,2.00e+00,
189,6.20e+01,2.16e+00,2.24e+00,
190,6.00e+01,1.92e+00,2.16e+00,
191,6.80e+01,2.24e+00,2.32e+00,
192,6.60e+01,2.08e+00,2.16e+00,
193,7.20e+01,2.40e+00,2.40e+00,
194,7.00e+01,2.24e+00,2.32e+00,
195,8.00e+01,2.56e+00,2.56e+00,
196,7.60e+01,2.32e+00,2.48e+00,
197,8.40e+01,2.64e+00,2.72e+00,
198,8.00e+01,2.48e+00,2.56e+00,
199,9.00e+01,2.72e+00,2.80e+00,
200,8.60e+01,2.48e+00,2.64e+00,
201,9.20e+01,2.88e+00,2.88e+00,
202,9.00e+01,2.64e+00,2.88e+00,
203,9.60e+01,2.88e+00,2.72e+00,
204,9.60e+01,2.64e+00,2.80e+00,
205,1.02e+02,3.04e+00,3.04e+00,
206,9.80e+01,2.80e+00,2.96e+00,
207,1.04e+02,3.04e+00,3.12e+00,
208,1.02e+02,2.88e+00,3.04e+00,
209,1.06e+02,3.12e+00,3.20e+00,
210,1.06e+02,3.12e+00,3.20e+00,
211,1.10e+02,2.96e+00,3.04e+00,
212,1.08e+02,2.96e+00,3.12e+00,
213,1.14e+02,3.20e+00,3.28e+00,
214,1.10e+02,3.04e+00,3.28e+00,
215,1.14e+02,3.28e+00,3.12e+00,
216,1.12e+02,3.04e+00,3.28e+00,
217,1.16e+02,3.36e+00,3.20e+00,
218,1.12e+02,3.12e+00,3.36e+00,
219,1.20e+02,3.36e+00,3.20e+00,
220,1.16e+02,3.36e+00,3.20e+00,
221,1.12e+02,3.04e+00,3.44e+00,
222,1.16e+02,3.20e+00,3.28e+00,
223,1.12e+02,3.04e+00,3.20e+00,
224,1.12e+02,3.28e+00,3.28e+00,
225,1.14e+02,3.04e+00,3.20e+00,
226,1.12e+02,3.04e+00,3.28e+00,
227,1.14e+02,3.28e+00,3.20e+00,
228,1.14e+02,3.04e+00,3.20e+00,
229,1.10e+02,3.20e+00,3.28e+00,
230,1.10e+02,3.04e+00,3.28e+00,
231,1.14e+02,3.20e+00,3.12e+00,
232,1.12e+02,3.12e+00,3.20e+00,
233,1.08e+02,2.96e+00,3.12e+00,
234,1.12e+02,3.12e+00,3.20e+00,
235,1.04e+02,2.88e+00,3.04e+00,
236,1.08e+02,3.12e+00,3.12e+00,
237,1.02e+02,2.88e+00,2.96e+00,
238,1.04e+02,3.04e+00,3.12e+00,
239,9.80e+01,2.80e+00,2.88e+00,
240,1.02e+02,2.96e+00,3.04e+00,
241,9.60e+01,2.72e+00,2.88e+00,
242,9.80e+01,2.88e+00,2.88e+00,
243,9.00e+01,2.64e+00,2.72e+00,
244,9.40e+01,2.72e+00,2.80e+00,
245,8.60e+01,2.48e+00,2.64e+00,
246,9.00e+01,2.64e+00,2.72e+00,
247,8.20e+01,2.32e+00,2.56e+00,
248,8.40e+01,2.56e+00,2.64e+00,
249,7.80e+01,2.32e+00,2.40e+00,
250,8.00e+01,2.48e+00,2.48e+00,
251,7.00e+01,2.08e+00,2.24e+00,
252,7.40e+01,2.40e+00,2.32e+00,
253,6.60e+01,2.08e+00,2.16e+00,
254,7.00e+01,2.24e+00,2.24e+00,
255,6.00e+01,1.92e+00,2.08e+00,
256,6.40e+01,2.16e+00,2.16e+00,
257,5.60e+01,1.84e+00,1.92e+00,
258,6.00e+01,2.00e+00,2.00e+00,
259,5.20e+01,1.68e+00,1.76e+00,
260,5.20e+01,1.84e+00,1.84e+00,
261,4.60e+01,1.60e+00,1.68e+00,
262,4.80e+01,1.76e+00,1.76e+00,
263,4.20e+01,1.52e+00,1.60e+00,
264,4.60e+01,1.60e+00,1.68e+00,
265,3.80e+01,1.36e+00,1.44e+00,
266,4.00e+01,1.52e+00,1.52e+00,
267,3.40e+01,1.12e+00,1.28e+00,
268,3.60e+01,1.36e+00,1.44e+00,
