Unnamed: 0,length,wingLength,appliedElectricField,activeMaterialThickness,multiLayers,staticStrokeAmplitude,operatingFrequency,width,transmissionRatio,naturalFrequency,strokeAmplitude,netThrust,loadedDisplacement,liftableMass,totalMechanicalMass,appliedVoltage,intBulk,intCapacitance,intResistance,intInductance,averageCurrent,xt018-m0-mass,xt018-m0-area,xt018-m0-current,xt018-mem-mass,xt018-mem-area,xt018-mem-current,IMU-sensor-mass,IMU-sensor-area,IMU-sensor-current,total-additional-mass,total-additional-current,cp-frequency,cp-capacitance,N,M,cp-area,cp-mass,vin,load,battery-mass,battery-alpha,runtime,ccount
0.0,0.006,0.0075,400000.0,0.000127,1.0,25.0,400.0,0.0010950464896301,8919.346175413035,385.3528593710531,132.0754358970089,0.0,0.0002584439679854,0.1610123529224353,0.0408250852077945,50.8,2.548810979260253e-09,4.839096174655075e-10,1248.5680000000002,1.8040793025861663,6.580187065179578e-05,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,10000000.0,6.3240441866351e-10,22.0,2.0,,0.018563174165254177,3.606102657271963,0.01188573958582748,0.061444093549386625,0.1071139404033156,129.11637743990892,1.0
3.0,0.006,0.0075,400000.0,0.000127,1.0,30.0,400.0,0.0015854574011655,10703.21541049564,385.3528593710531,133.14042423200465,0.0,0.0002171066059337,0.1811265686073972,0.0591083886472928,50.8,3.529632802331063e-09,5.792969918137015e-10,1248.5680000000002,1.7049476409283997,8.687798942271206e-05,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,10000000.0,8.714572088244708e-10,22.0,2.0,,0.025580169062010313,3.5727863225831595,0.01610299714137217,0.056258010898093985,0.13980629278345738,113.89004971575758,1.0
7.0,0.006,0.0075,400000.0,0.000127,1.0,35.0,400.0,0.0021717935495594,12487.084645578248,385.3528593710531,134.14132881399766,0.0,0.0001874903484083,0.186536942271045,0.0809679383972566,50.8,5.3886276817180875e-09,8.18618571687623e-10,1105.6621933920696,0.895609007811594,0.0001279490804844,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,10000000.0,5.379052847884609e-10,24.0,3.0,,0.05902447888019661,3.591426211547645,0.013743517525614573,0.0063645249935917955,0.12181669682710455,13.153954052228421,1.0
12.0,0.006,0.0075,450000.0,0.000127,1.0,30.0,400.0,0.0012527070824023,9513.969253773908,385.3528593710531,133.14042423200462,0.0,0.0002442449316754,0.1683588709517398,0.0467029243632931,57.15,2.8641321648047917e-09,5.14575391062678e-10,1248.5680000000002,1.7722097903631795,8.164888001157491e-05,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,10000000.0,4.888784722535137e-10,24.0,3.0,,0.05364475471152558,3.6130122224537455,0.011011111081804425,0.027831191876921124,0.10002018546893543,58.948087960147454,1.0
20.0,0.006,0.0075,500000.0,0.000127,1.0,30.0,400.0,0.0010146927367459,8562.572328396516,385.3528593710531,133.1404242320046,0.0,0.0002713832574171,0.171855274241253,0.0378293687342674,63.5,2.388103473491881e-09,4.682804107607692e-10,1248.5680000000002,1.820322010194176,7.793667990804417e-05,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,10000000.0,5.812029196342297e-10,27.0,3.0,,0.07174748134723939,3.5900921986328744,0.013912379919889398,0.02209842415974611,0.12312913092054784,45.603911709624086,1.0
21.0,0.006,0.0075,500000.0,0.000127,1.0,35.0,375.0,0.00114768517164,9989.667716462602,351.11917342151344,115.50139624606422,0.0,0.0002017964673461,0.1019689214702874,0.0427875394950145,63.5,2.6540883432800395e-09,4.941481043098421e-10,1248.5680000000002,1.7934389194046865,7.82244715313721e-05,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,100000000.0,7.5780628312546e-11,24.0,4.0,,0.0083154269382591,3.5881215275391845,0.014161831957065298,0.010685955037013702,0.12506076266269406,22.0037339034775,1.0
22.0,0.006,0.0075,500000.0,0.000127,1.0,35.0,400.0,0.001389947871718,9989.667716462602,385.3528593710531,134.14132881399766,0.0,0.0002343629355104,0.1731852787191087,0.0518194805742442,63.5,3.138613743436133e-09,5.412694107885222e-10,1248.5680000000002,1.7444679372109102,9.809361228881424e-05,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,10000000.0,4.052789725518673e-10,28.0,4.0,,0.05188325461352064,3.605837862727648,0.011919257882576148,0.029302543531343858,0.10738356940493948,61.556702189098125,1.0
23.0,0.006,0.0075,500000.0,0.000127,1.0,40.0,350.0,0.0012142258856558,11416.763104528687,351.11917342151344,113.99477125071076,0.0,0.0001742686670614,0.0969468335062085,0.0452682837786684,63.5,2.7871697713117716e-09,5.070906058894982e-10,1248.5680000000002,1.7799883794735194,8.148038053199448e-05,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,100000000.0,8.179341967787523e-11,24.0,4.0,,0.008975212010074249,3.580422626419312,0.015136376402618772,0.0025233377174657522,0.1325262749721151,5.15153740048752,1.0
25.0,0.006,0.0075,500000.0,0.000127,1.0,40.0,400.0,0.0018287523433028,11416.763104528687,385.3528593710531,135.15805226345557,0.0,0.0002066218770576,0.1809709029725066,0.0681788133620779,63.5,4.073727373211224e-09,6.424223399930064e-10,1231.316594018317,1.5608680170195297,0.0001234624426724,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,10000000.0,5.295255813601786e-10,28.0,4.0,,0.06778913396146315,3.5793601785479217,0.01527086347494669,0.004822955648965552,0.13354652322624655,9.834757720483061,1.0
26.0,0.006,0.0075,550000.0,0.000127,1.0,35.0,400.0,0.0011487172493537,9081.516105875093,385.3528593710531,134.1413288139976,0.0,0.0002577992290615,0.1688272557057285,0.0428260170035076,69.85,2.6561524987075474e-09,4.943488485855558e-10,1248.5680000000002,1.7932302952156285,9.364860731341188e-05,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,10000000.0,4.5193288537169727e-10,32.0,4.0,,0.06612094186402706,3.58540536702586,0.014505649743562018,0.019700296838193743,0.12770920952210868,40.44261283636715,1.0
