Unnamed: 0,length,wingLength,appliedElectricField,activeMaterialThickness,multiLayers,staticStrokeAmplitude,operatingFrequency,width,transmissionRatio,naturalFrequency,strokeAmplitude,netThrust,loadedDisplacement,liftableMass,totalMechanicalMass,appliedVoltage,intBulk,intCapacitance,intResistance,intInductance,averageCurrent,xt018-m0-mass,xt018-m0-area,xt018-m0-current,xt018-mem-mass,xt018-mem-area,xt018-mem-current,IMU-sensor-mass,IMU-sensor-area,IMU-sensor-current,total-additional-mass,total-additional-current,ccount,boost-frequency,inductance,boost-mass,vin,load,battery-mass,battery-alpha,runtime
34.0,0.006,0.008,400000.0,0.000127,1.0,25.0,400.0,0.0015616124577686,8919.346175413035,385.3528593710531,137.44796765153683,0.0,0.0002689568874798,0.2488574775685789,0.0582194110055465,50.8,3.4819429155372397e-09,5.746590310982851e-10,1248.5680000000002,1.7097676577866514,8.585307816137225e-05,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,486384.01661442075,1.9e-06,0.12776,3.589454073967671,0.013993155193965733,0.022698066563032387,0.12375554730288323,46.80791488455848
49.0,0.006,0.008,450000.0,0.000127,1.0,25.0,400.0,0.0012338666332986,7928.307711478257,385.3528593710531,137.44796765153689,0.0,0.0003025764984147,0.2575205397498564,0.0460005222759875,57.15,2.82645126659733e-09,5.109108295097569e-10,1248.5680000000002,1.776018198745008,8.073802462335153e-05,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,367601.01315528917,1.9e-06,0.12776,3.566841108856593,0.01685555584093765,0.04358001747386889,0.14539007302569815,87.65172788329947
52.0,0.006,0.008,450000.0,0.000127,1.0,30.0,400.0,0.0017867152689242,9513.969253773908,385.3528593710531,138.3285227630163,0.0,0.0002537624525827,0.2618705861084651,0.066611603969926,57.15,3.9321485378484855e-09,6.184426533821096e-10,1248.5680000000002,1.6642653755396537,0.0001074700294653,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,804390.5021575341,1.9e-06,0.12776,3.4590192261341426,0.03050389542605791,0.02731898213853909,0.23540285189923751,49.15892039438551
65.0,0.006,0.008,500000.0,0.000127,1.0,30.0,400.0,0.0014472393678286,8562.572328396516,385.3528593710531,138.3285227630163,0.0,0.0002819582806475,0.2522871376772398,0.0539553992156401,63.5,3.253196735657276e-09,5.524128932395093e-10,1248.5680000000002,1.7328870341871192,0.000101171523259,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,574098.5940385221,1.9e-06,0.12776,3.4062425075207994,0.037184492718886186,0.030391738461599788,0.272889131990477,52.00694316230529
76.0,0.006,0.008,550000.0,0.000127,1.0,30.0,400.0,0.0011960655932468,7784.156662178651,385.3528593710531,138.32852276301637,0.0,0.0003101541087122,0.2392404092194831,0.0445912390211901,69.85,2.7508491864936155e-09,5.035583382144704e-10,1248.5680000000002,1.7836593009810904,9.64462230247678e-05,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,569069.8056007663,1.9e-06,0.12776,3.4119634951014377,0.036460317075767384,0.026709170198292886,0.26900420221461996,45.9494613300751
79.0,0.006,0.008,550000.0,0.000127,1.0,35.0,400.0,0.0016386821306835,9081.516105875093,385.3528593710531,139.23225921857292,0.0,0.0002675832228918,0.2479229296213599,0.0610926917232916,69.85,3.636082261367089e-09,5.89649467828603e-10,1248.5680000000002,1.6941887941036282,0.0001226029071149,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,773705.6259460823,1.9e-06,0.12776,3.2696948799485996,0.054469002538151935,0.01889023789806829,0.3547388126672499,28.68653666044383
84.0,0.006,0.008,600000.0,0.000127,1.0,30.0,400.0,0.0010050273387698,7135.476940330432,385.3528593710531,138.32852276301628,0.0,0.000338349936777,0.2476232770821375,0.0374690272330834,76.2,2.368772677539774e-09,4.66400442527437e-10,1248.568,1.822275773741055,9.290111358807009e-05,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,584391.3173111281,1.9e-06,0.12776,3.4843709355385375,0.0272948182862611,0.0422142498490542,0.21598684474622615,77.89105293934514
86.0,0.006,0.008,600000.0,0.000127,1.0,35.0,400.0,0.0013769481792549,8324.72309705217,385.3528593710531,139.23225921857295,0.0,0.0002919089704274,0.2236568969319851,0.0513348312397103,76.2,3.1126143585098482e-09,5.38740905605979e-10,1248.5680000000002,1.74709569504541,0.0001168742820667,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,900226.9756907678,1.9e-06,0.12776,3.426977105014413,0.03455986012475785,0.0043820656922747,0.2586087322941386,7.6459507964371785
92.0,0.006,0.0085,400000.0,0.000127,1.0,20.0,400.0,0.0013537304389833,7135.476940330428,385.3528593710531,137.94972593203784,0.0,0.0003374234041917,0.2855217501264838,0.0504692367340019,50.8,3.066178877966714e-09,5.342249390344575e-10,1248.5680000000002,1.7517889290639044,7.691834528139005e-05,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,508194.6714470867,1.9e-06,0.12776,3.5928032084705945,0.013569214117646273,0.06711251339248189,0.12045784702571798,138.92017140789778
96.0,0.006,0.0085,400000.0,0.000127,1.0,25.0,400.0,0.0021254636197495,8919.346175413035,385.3528593710531,138.7287537884801,0.0,0.0002714631177195,0.2986026084151628,0.0792406844860558,50.8,5.218751272415116e-09,8.054676666779832e-10,1111.8395173667232,0.9132525261149,0.0001243657818102,0.00148,6.65847e-07,0.0154111111111111,0.0157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.0401799999999999,0.0990777777777777,1.0,377980.9132829774,1.9e-06,0.12776,3.569312598667334,0.016542709029451416,0.051421923929106994,0.14307766284562204,103.70386286287189
